#,Event Date,Year ,Species,Name.Current.Sci,Location,County/Region,GPS Lat,GPS Long,GridRef,Record ID,Stranding ID,Observer,Live Stranding
2749,16/04/1997,1997,common dolphin,Delphinus delphis,Sheephaven Bay,Co. Donegal,55.162,-7.8282,,1561,1997_025,IWDG INJ 25(11/12) -  447-448., NO
2750,08/04/1997,1997,harbour porpoise,Phocoena phocoena,Tory Island,Co. Donegal,55.2697,-8.2524,,1264,1997_024,IWDG INJ 25(11/12) -  447-448., NO
2751,04/04/1997,1997,pilot whale,Globicephala melas,Cross  Point Mullet,Co. Mayo,54.1917,-10.0997,,1878,1997_022,IWDG INJ 25(11/12) -  447-448., NO
2752,04/04/1997,1997,Atlantic white-sided dolphin,Lagenorhynchus acutus,Dooey Strand,Co. Donegal,54.8651,-8.4057,,1432,1997_020,IWDG INJ 25(11/12) -  447-448., NO
2753,04/04/1997,1997,Atlantic white-sided dolphin,Lagenorhynchus acutus,Renvyle ,Co. Galway,53.6004,-9.9947,,1433,1997_021,IWDG INJ 25(11/12) -  447-448., NO
2754,04/04/1997,1997,sperm whale,Physeter macrocephalus ,Dungloe,Co. Donegal,54.9188,-8.453,,2018,1997_023,IWDG INJ 25(11/12) -  447-448., NO
2755,01/04/1997,1997,pilot whale,Globicephala melas,Inishmor Aran Islands,Co. Galway,53.1374,-9.7191,,1876,1997_018,O'Connell INJ 25(11/12) -  449., NO
2756,01/04/1997,1997,pilot whale,Globicephala melas,Inishmor Aran Islands,Co. Galway,53.1023,-9.658,,1877,1997_019,O'Connell INJ 25(11/12) -  449., NO
2757,27/03/1997,1997,common dolphin,Delphinus delphis,Renvyle ,Co. Galway,53.6004,-9.9947,,1560,1997_017,IWDG INJ 25(11/12) -  447-448., NO
2758,19/03/1997,1997,Atlantic white-sided dolphin,Lagenorhynchus acutus,Allihies Bay Beara Peninsula,Co. Cork,51.6489,-10.0668,,1431,1997_015,IWDG INJ 25(11/12) -  447-448., NO
2759,19/03/1997,1997,Cuvier's beaked whale,Ziphius cavirostris,Omey Island,Co. Galway,53.5344,-10.1726,,1957,1997_016,Mackey -  Bruton & O'Donnell INJ 26(3/4) -  123, NO
2760,17/03/1997,1997,Cuvier's beaked whale,Ziphius cavirostris,Ballyteige Kilmore Quay,Co. Wexford,52.14,-6.63,,4465,,Jim Hurley -  Mick Mackey -  John Boyd, NO
2761,17/03/1997,1997,Cuvier's beaked whale,Ziphius cavirostris,Ballyteige Bay,Co. Wexford,52.183,-6.623,,2729,1997_014,Mackey -  Brutonand Hurley  INJ27(4) -  167., NO
2762,13/03/1997,1997,harbour porpoise,Phocoena phocoena,Shanagarry East Cork,Co. Cork,51.7927,-8.1746,,1263,1997_013,IWDG INJ 25(11/12) -  447-448., NO
2763,09/03/1997,1997,harbour porpoise,Phocoena phocoena,Clonea Bay,Co. Waterford,52.0976,-7.5484,,1262,1997_012,IWDG INJ 25(11/12) -  447-448., NO
