"","S.W.No.","Name.Current.Sci","Name.Common","Latitude","Longitude","County","Year","Date"
"9105","SW2013/52","Phocoena phocoena","Harbour porpoise",50.74833333,0.2702778,"East Sussex",2013,"05/02/2013"
"9106","SW2013/50","Delphinus delphis","Short-beaked common dolphin",50.59277778,-4.8319444,"Cornwall",2013,"06/02/2013"
"9107","SW2013/47","Phocoena phocoena","Harbour porpoise",52.39722222,-4.0922222,"Ceredigion",2013,"06/02/2013"
"9108","SW2013/183","Phocoena phocoena","Harbour porpoise",55.06,-7.1508333,"Derry",2013,"07/02/2013"
"9109","SW2013/53","Phocoena phocoena","Harbour porpoise",51.2867,1.4035,"Kent",2013,"12/02/2013"
"9110","SW2013/56","Globicephala melas","Long-finned pilot whale",50.37166667,-5.1480556,"Cornwall",2013,"12/02/2013"
"9111","SW2013/54","Phocoena phocoena","Harbour porpoise",51.07111111,1.1266667,"Kent",2013,"14/02/2013"
"9112","SW2013/55","Phocoena phocoena","Harbour porpoise",53.76222222,-3.0625,"Lancashire",2013,"14/02/2013"
"9113","SW2013/112","Phocoena phocoena","Harbour porpoise",53.37722222,0.2361111,"Lincolnshire",2013,"16/02/2013"
"9114","SW2013/113","Phocoena phocoena","Harbour porpoise",50.89138889,0.6908333,"East Sussex",2013,"17/02/2013"
"9115","SW2013/84","Balaenoptera physalus","Fin whale",54.87416667,-4.3775,"Dumfries and Galloway",2013,"17/02/2013"
"9116","SW2013/57","Phocoena phocoena","Harbour porpoise",51.97527778,1.3816667,"Suffolk",2013,"18/02/2013"
"9117","SW2013/58","Delphinus delphis","Short-beaked common dolphin",50.44527778,-3.5555556,"Torbay",2013,"20/02/2013"
"9118","SW2013/60","Grampus griseus","Risso's dolphin",50.06277778,-5.5636111,"Cornwall",2013,"21/02/2013"
